task,auroc_mean,auroc_std,auroc_min,auroc_max
promiscuity_pxf0,0.8372503840245773,0.03348984964627047,0.7956989247311828,0.8863287250384024
promiscuity_pxf1,0.8004109589041096,0.0774840100575555,0.673972602739726,0.9260273972602739
promiscuity_pxf2,0.7129746835443038,0.09205597751539381,0.5569620253164558,0.8607594936708861
promiscuity_fxp0_pxf0,0.818344827586207,0.04369410477300557,0.7317241379310345,0.8958620689655172
promiscuity_fxp0_pxf1,0.7710784313725491,0.04047547565107893,0.7019607843137254,0.8558823529411764
promiscuity_fxp0_pxf2,0.7707692307692308,0.07585757789174985,0.6641025641025641,0.8974358974358975
promiscuity_fxp1_pxf0,0.8086829836829835,0.03291694921978847,0.7593240093240093,0.8583916083916083
promiscuity_fxp1_pxf1,0.8547697368421053,0.03318172506761218,0.8108552631578948,0.9358552631578947
promiscuity_fxp1_pxf2,0.7428333333333332,0.06631176366226435,0.665,0.885
promiscuity_fxp2_pxf0,0.8566392479435958,0.03252999681680827,0.7937720329024677,0.9036427732079906
promiscuity_fxp2_pxf1,0.8577266922094509,0.02699541200364219,0.8033205619412516,0.9080459770114941
promiscuity_fxp2_pxf2,0.8140151515151516,0.019165735062066893,0.7929292929292928,0.8421717171717171
signature_0,0.8721518987341772,0.07124401042186092,0.7658227848101266,0.9620253164556962
signature_1,0.7266666666666667,0.09217736526212204,0.575,0.87
signature_2,0.9384999999999998,0.047810098886695004,0.845,0.9916666666666666
signature_3,0.6160000000000001,0.07315964279118188,0.485,0.7033333333333334
signature_4,0.5192307692307693,0.10665711249124651,0.4076923076923077,0.7846153846153846
signature_5,0.7022151898734177,0.12777484114818471,0.4240506329113924,0.9303797468354431
signature_6,0.7560606060606061,0.05856208511174012,0.6666666666666667,0.8506493506493507
signature_7,0.5569548872180451,0.09822773048962154,0.33834586466165417,0.6748120300751879
signature_8,0.7062770562770564,0.10386024814188534,0.5086580086580087,0.8809523809523809
signature_9,0.8056390977443609,0.07296623504633894,0.674812030075188,0.9172932330827068
